"","lon","lat","habitat","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98"
"72002",-80.445,41.501,-0.387137249473071,NA,24,NA,NA,25,24,49,67,65,49,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,NA,NA,NA,68,109,68,34,49,43
"72003",-80.347,41.214,-1.01716287655275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,31,31,54,106,60,67,80,107,NA,NA,NA
"72004",-80.298,41.809,-0.857438069687482,23,27,0,16,10,17,13,13,16,12,19,17,15,18,18,13,25,29,25,NA,NA,NA,NA,30,NA,NA,NA,28,39,20,40,21,44
"72005",-79.935,41.943,-1.00869262164323,0,1,5,2,10,12,11,12,11,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,15,25,32,20,22,27,NA,40,28,33,44,46
"72006",-79.431,41.65,1.13508856140959,0,3,2,0,0,0,5,4,3,4,5,0,4,1,NA,3,NA,3,5,7,5,7,7,6,12,13,11,9,11,17,9,5,13
"72008",-79.939,41.593,-0.103988728211907,28,15,22,18,18,23,27,35,28,NA,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,16,14,35,46,56,21,19,27,35,40
"72009",-79.154,41.145,0.368328819361913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,18,NA,NA,11,25,NA,NA,NA,29,23,20,51
"72010",-79.123,41.529,1.26375576693995,NA,NA,1,0,0,0,0,0,0,0,0,4,2,3,NA,2,0,0,1,0,1,6,NA,5,3,4,4,5,3,2,9,3,NA
"72011",-79.692,41.091,0.0976840077290922,NA,6,12,NA,15,NA,NA,7,6,10,16,17,9,10,13,21,24,36,21,18,32,28,31,32,NA,NA,NA,NA,13,20,21,21,23
"72012",-79.403,41.402,0.486912388095221,NA,NA,NA,0,0,2,6,5,5,7,1,3,1,NA,3,2,4,8,6,4,6,5,8,11,NA,NA,NA,NA,NA,33,20,18,NA
"72013",-78.21,41.15,1.25851227580549,NA,NA,0,5,0,0,NA,2,1,5,3,1,1,4,6,2,1,NA,2,1,NA,NA,6,NA,NA,2,2,1,0,3,NA,3,NA
"72014",-78.125,41.601,1.37144900793245,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,0,0,0,1,1,0,NA,NA,0,NA,1,2,NA,1,1,2,NA,2,NA
"72015",-78.272,41.774,0.911231824515084,NA,NA,NA,NA,NA,NA,NA,5,4,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,13,12,24,NA,NA,24,NA,NA,NA,NA,NA
"72016",-78.819,41.692,0.680921560070463,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,2,2,3,NA,NA,NA,NA,NA,NA,8,12,8,8,10,11,11
"72017",-78.688,41.583,1.30731707790321,1,4,0,NA,0,4,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,12,NA,11,11,NA,28,32,24,NA,NA
"72018",-78.441,41.901,1.03667226627039,NA,NA,NA,NA,NA,NA,NA,4,2,6,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,6,13,NA,9,14,NA,NA,NA,15,NA,NA,NA
"72019",-78.583,41.484,1.35854195283222,NA,NA,NA,5,4,3,NA,NA,NA,4,3,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,15,13,NA,NA,NA,NA,1,17,8,14,NA
"72020",-78.027,41.745,0.750296981234166,NA,NA,NA,NA,0,0,2,1,4,3,0,4,NA,NA,2,3,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,17,7,11,NA,20,NA
